 2017-01-14 14:40:25,237 [P2056/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.6 application starting on HP-COMPUTER-ROO
 2017-01-14 14:40:25,266 [P2056/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-01-14 14:40:25,277 [P2056/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 10ms)
 2017-01-14 14:40:25,329 [P2056/D2/T1] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2017-01-14 14:40:25,331 [P2056/D2/T1] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2017-01-14 14:40:25,336 [P2056/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2017-01-14 14:40:25,761 [P2056/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 424ms)
 2017-01-14 14:40:25,776 [P2056/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-01-14 14:40:25,788 [P2056/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 12ms)
 2017-01-14 14:40:25,789 [P2056/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2017-01-14 14:40:25,803 [P2056/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 14ms)
 2017-01-14 14:40:25,818 [P2056/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2017-01-14 14:40:25,829 [P2056/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 11ms)
 2017-01-14 14:40:25,830 [P2056/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2017-01-14 14:40:25,857 [P2056/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 27ms)
 2017-01-14 14:40:25,896 [P2056/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2017-01-14 14:40:25,906 [P2056/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 9ms)
 2017-01-14 14:40:25,906 [P2056/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2017-01-14 14:40:25,918 [P2056/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 11ms)
 2017-01-14 14:40:27,083 [P2056/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-01-14 14:40:27,389 [P2056/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-01-14 14:40:27,396 [P2056/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2017-01-14 14:40:27,425 [P2056/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2017-01-14 14:40:27,438 [P2056/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 13ms)
 2017-01-14 14:40:27,836 [P2056/D2/T1] INFO  Umbraco.Forms.Core.Cache.CacheEventHandler - Initializing Umbraco Forms Events to trigger Cache Refreshers
 2017-01-14 14:40:27,850 [P2056/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2017-01-14 14:40:27,940 [P2056/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2017-01-14 14:40:27,976 [P2056/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-01-14 14:40:28,080 [P2056/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 2953ms)
 2017-01-14 14:40:28,255 [P2056/D2/T6] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:25430/umbraco (UmbracoModule request)
 2017-01-14 14:40:28,581 [P2056/D2/T6] INFO  umbraco.content - Load Xml from file...
 2017-01-14 14:40:28,593 [P2056/D2/T6] INFO  umbraco.content - Loaded Xml from file.
 2017-01-14 14:40:29,312 [P2056/D2/T6] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2017-01-14 14:40:29,341 [P2056/D2/T6] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 28ms)
 2017-01-14 14:41:08,141 [P33960/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.6 application starting on HP-COMPUTER-ROO
 2017-01-14 14:41:08,160 [P33960/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-01-14 14:41:08,180 [P33960/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 20ms)
 2017-01-14 14:41:08,281 [P33960/D2/T1] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2017-01-14 14:41:08,283 [P33960/D2/T1] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2017-01-14 14:41:08,287 [P33960/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2017-01-14 14:41:08,520 [P33960/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 232ms)
 2017-01-14 14:41:08,628 [P33960/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-01-14 14:41:08,629 [P33960/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 0ms)
 2017-01-14 14:41:08,629 [P33960/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2017-01-14 14:41:08,630 [P33960/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 1ms)
 2017-01-14 14:41:08,643 [P33960/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2017-01-14 14:41:08,683 [P33960/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 40ms)
 2017-01-14 14:41:08,684 [P33960/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2017-01-14 14:41:08,768 [P33960/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 84ms)
